project,api_name,parameter_name,gold_replace_para,gold_keep_pra,is_mapping_correct,note
JeecgBoot,GET /jeecgboot/sys/version/app3version,result.id,"[""id"", ""result.id""]","[""version_id"", ""id""]",,
JeecgBoot,POST /jeecgboot/sys/version/saveVersion,id,"[""id"", ""result.id""]","[""version_id"", ""id""]",,
JeecgBoot,DELETE /jeecgboot/sys/comment/delete,id,"[""id"", ""result.id"", ""result.records[].id""]",comment_id,,
JeecgBoot,DELETE /jeecgboot/sys/comment/deleteBatch,ids,"[""ids""]","[""comment_id"", ""comment_ids""]",,
JeecgBoot,DELETE /jeecgboot/sys/comment/deleteOne,id,"[""id"", ""result.id"", ""result.records[].id""]",comment_id,,
JeecgBoot,GET /jeecgboot/sys/comment/fileList,id,"[""id""]","[""fileId"", ""comment_id""]",,
JeecgBoot,GET /jeecgboot/sys/comment/list,id,"[""id"", ""result.id"", ""result.records[].id""]",comment_id,,
JeecgBoot,GET /jeecgboot/sys/comment/listByForm,id,"[""id"", ""result.id"", ""result.records[].id""]",comment_id,,
JeecgBoot,GET /jeecgboot/sys/comment/queryById,id,"[""id"", ""result.id"", ""result.records[].id""]",comment_id,,
JeecgBoot,POST /jeecgboot/sys/comment/add,id,"[""id"", ""result.id"", ""result.records[].id""]",comment_id,,
TIME-SEA-chatgpt,POST /admin/drawing/status/{id},id,"[""id""]",drawing_id,,
TIME-SEA-chatgpt,POST /admin/exchange/delete/{id},id,"[""id""]",exchange_id,,
TIME-SEA-chatgpt,POST /drawing/image/delete/{id},id,"[""id""]","[""drawing_id"", ""drawingId""]",,
crapi,GET /community/api/v2/community/posts/recent,[].id,"[""postId"", ""id"", ""[].id""]","[""post_id"", ""postId""]",,
crapi,GET /community/api/v2/community/posts/{postId},id,"[""postId"", ""id"", ""[].id""]","[""post_id"", ""postId""]",,
crapi,POST /community/api/v2/community/posts,id,"[""postId"", ""id"", ""[].id""]","[""post_id"", ""postId""]",,
crapi,POST /community/api/v2/community/posts/{postId}/comment,comments[].id,"[""postId"", ""id"", ""[].id""]","[""post_id"", ""postId""]",,
crapi,GET /identity/api/v2/user/dashboard,id,"[""id"", ""number""]",user_id,,
crapi,GET /identity/api/v2/user/videos/{video_id},id,"[""id""]",video_id,,
crapi,POST /identity/api/v2/user/videos,id,"[""id""]",video_id,,
crapi,PUT /identity/api/v2/user/videos/{video_id},id,"[""id""]",video_id,,
crapi,GET /identity/api/v2/vehicle/vehicles,[].id,"[""[].id"", ""id"", ""carId"", ""vehicleId"", ""uuid""]",vehicle_id,,
ctfd,GET /api/v1/tokens,data[].id,"[""data[].id"", ""data.id"", ""id""]",token_id,,
ctfd,GET /api/v1/tokens/{token_id},data.id,"[""data[].id"", ""data.id"", ""id""]",token_id,,
ctfd,POST /api/v1/tokens,data.id,"[""data[].id"", ""data.id"", ""id""]",token_id,,
ctfd,GET /api/v1/awards,data[].id,"[""data[].id"", ""data.id"", ""id""]",award_id,,
ctfd,GET /api/v1/awards/{award_id},data.id,"[""data[].id"", ""data.id"", ""id""]",award_id,,
ctfd,POST /api/v1/awards,data[].id,"[""data[].id"", ""data.id"", ""id""]",award_id,,
ctfd,GET /api/v1/comments,data[].id,"[""data[].id"", ""data.id"", ""id""]",comment_id,,
ctfd,POST /api/v1/comments,data.id,"[""data[].id"", ""data.id"", ""id""]",comment_id,,
ctfd,GET /api/v1/files,data[].id,"[""data[].id"", ""data.id"", ""id""]",file_id,,
ctfd,GET /api/v1/files/{file_id},data.id,"[""data[].id"", ""data.id"", ""id""]",file_id,,
easyappointments,GET /appointments,[].id,"[""[].id"", ""id"", ""appointmentId""]","[""appointment_id"", ""appointmentId""]",,
easyappointments,GET /appointments/{appointmentId},id,"[""[].id"", ""id"", ""appointmentId""]","[""appointment_id"", ""appointmentId""]",,
easyappointments,POST /appointments,id,"[""[].id"", ""id"", ""appointmentId""]","[""appointment_id"", ""appointmentId""]",,
easyappointments,PUT /appointments/{appointmentId},id,"[""[].id"", ""id"", ""appointmentId""]","[""appointment_id"", ""appointmentId""]",,
easyappointments,GET /unavailabilities,[].id,"[""[].id"", ""id"", ""unavailabilityId""]","[""unavailability_id"", ""unavailabilityId""]",,
easyappointments,GET /unavailabilities/{unavailabilityId},id,"[""[].id"", ""id"", ""unavailabilityId""]","[""unavailability_id"", ""unavailabilityId""]",,
easyappointments,POST /unavailabilities,id,"[""[].id"", ""id"", ""unavailabilityId""]","[""unavailability_id"", ""unavailabilityId""]",,
easyappointments,PUT /unavailabilities/{unavailabilityId},id,"[""[].id"", ""id"", ""unavailabilityId""]","[""unavailability_id"", ""unavailabilityId""]",,
easyappointments,GET /customers,[].id,"[""[].id"", ""id"", ""customerId""]","[""customer_id"", ""customerId""]",,
easyappointments,GET /customers/{customerId},id,"[""[].id"", ""id"", ""customerId""]","[""customer_id"", ""customerId""]",,
gin-vue-admin,DELETE /api/deleteApisByIds,ids[],"[""ID"", ""ids[]""]",api_id,,
gin-vue-admin,POST /api/createApi,ID,"[""ID"", ""ids[]""]",api_id,,
gin-vue-admin,POST /api/deleteApi,ID,"[""ID"", ""ids[]""]",api_id,,
gin-vue-admin,POST /api/updateApi,ID,"[""ID"", ""ids[]""]",api_id,,
gin-vue-admin,POST /api/getAllApis,data.apis[].ID,"[""data.apis[].ID"", ""data.api.ID"", ""ID"", ""id""]",api_id,,
gin-vue-admin,POST /api/getApiById,data.api.ID,"[""data.apis[].ID"", ""data.api.ID"", ""ID"", ""id""]",api_id,,
gin-vue-admin,POST /api/getApiList,ID,"[""data.apis[].ID"", ""data.api.ID"", ""ID"", ""id""]",api_id,,
gin-vue-admin,GET /attachmentCategory/getCategoryList,data.ID,"[""ID"", ""id"", ""data.ID""]","[""attachment_category_id"", ""category_id""]",,
gin-vue-admin,POST /attachmentCategory/addCategory,ID,"[""ID"", ""id"", ""data.ID""]","[""attachment_category_id"", ""category_id""]",,
gin-vue-admin,POST /attachmentCategory/deleteCategory,id,"[""ID"", ""id"", ""data.ID""]","[""attachment_category_id"", ""category_id""]",,
gin-vue-blog,POST /login,data.id,"[""data.id""]","[""user_id"", ""user_info_id""]",,
gin-vue-blog,GET /comment,data.id,"[""data.id"", ""ids[]"", ""[]""]",comment_id,,
gin-vue-blog,PUT /comment/review,ids[],"[""data.id"", ""ids[]"", ""[]""]",comment_id,,
gin-vue-blog,GET /message/list,data.page_data[].id,"[""data.page_data[].id"", ""id""]",message_id,,
gin-vue-blog,PUT /message/review,ids[],"[""data.page_data[].id"", ""id""]",message_id,,
gin-vue-blog,GET /category/list,data.page_data[].id,"[""id"", ""data.id"", ""data.page_data[].id""]",category_id,,
gin-vue-blog,POST /category,data.articles[].id,"[""id"", ""data.id"", ""data.page_data[].id""]",category_id,,
gin-vue-blog,GET /tag/list,data.page_data[].id,"[""id"", ""code"", ""data.id"", ""data.page_data[].id"", ""data.articles[].id"", ""data.value""]",tag_id,,
gin-vue-blog,POST /tag,data.articles[].id,"[""id"", ""code"", ""data.id"", ""data.page_data[].id"", ""data.articles[].id"", ""data.value""]",tag_id,,
gin-vue-blog,GET /link/list,data.page_data[].id,"[""id"", ""data.id"", ""data.page_data[].id"", ""code""]","[""friend_link_id"", ""link_id""]",,
mall,GET /member/attention/detail,data.id,"[""id"", ""data.id"", ""data.list[].id""]","[""id"", ""brand_id"", ""member_id""]",,
mall,GET /member/attention/list,data.list[].id,"[""id"", ""data.id"", ""data.list[].id""]","[""id"", ""brand_id"", ""member_id""]",,
mall,POST /member/attention/add,id,"[""id"", ""data.id"", ""data.list[].id""]","[""id"", ""brand_id"", ""member_id""]",,
mall,GET /member/coupon/list,data[].id,"[""data[].id"", ""data[].coupon.id"", ""data[].couponId"", ""couponId""]","[""coupon_id"", ""member_coupon_id""]",,
mall,GET /member/coupon/list/cart/{type},data[].categoryRelationList[].id,"[""data[].id"", ""data[].coupon.id"", ""data[].couponId"", ""couponId""]","[""coupon_id"", ""member_coupon_id""]",,
mall,GET /member/coupon/listByProduct/{productId},data[].id,"[""data[].id"", ""data[].coupon.id"", ""data[].couponId"", ""couponId""]","[""coupon_id"", ""member_coupon_id""]",,
mall,GET /member/coupon/listHistory,data[].id,"[""data[].id"", ""data[].coupon.id"", ""data[].couponId"", ""couponId""]","[""coupon_id"", ""member_coupon_id""]",,
mall,GET /member/productCollection/detail,data.id,"[""id"", ""data.id"", ""data.list[].id""]","[""product_id"", ""member_product_collection_id""]",,
mall,GET /member/productCollection/list,data.list[].id,"[""id"", ""data.id"", ""data.list[].id""]","[""product_id"", ""member_product_collection_id""]",,
mall,POST /member/productCollection/add,id,"[""id"", ""data.id"", ""data.list[].id""]","[""product_id"", ""member_product_collection_id""]",,
mall-swarm,GET /brand/detail/{brandId},data.id,"[""data[].id"", ""data.id"", ""id""]","[""brand_id"", ""brandId""]",,
mall-swarm,GET /brand/productList,data.list[].id,"[""data.list[].id"", ""id""]","[""product_id"", ""brandId""]",,
mall-swarm,GET /brand/recommendList,data[].id,"[""data[].id"", ""data.id"", ""id""]","[""brand_id"", ""brandId""]",,
mall-swarm,GET /cart/update/quantity,id,"[""id""]",cart_id,,
mall-swarm,POST /cart/update/attr,id,"[""id""]",cart_id,,
mall-swarm,POST /cart/add,id,"[""id"", ""ids""]",cart_id,,
mall-swarm,POST /cart/delete,ids,"[""id"", ""ids""]",cart_id,,
mall-swarm,GET /cart/getProduct/{productId},data.id,"[""data.id"", ""code""]",product_id,,
mall-swarm,GET /cart/list,data[].id,"[""data[].id"", ""id""]",cart_id,,
mall-swarm,GET /cart/list/promotion,data[].id,"[""data[].id"", ""id""]",cart_id,,
newbee_mall,DELETE /manage-api/v1/carousels,ids[],"[""ids[]"", ""id""]","[""carousel_id"", ""carouselId""]",,
newbee_mall,GET /manage-api/v1/carousels/{id},id,"[""ids[]"", ""id""]","[""carousel_id"", ""carouselId""]",,
newbee_mall,DELETE /manage-api/v1/categories,ids[],"[""id"", ""ids[]""]","[""category_id"", ""categoryId""]",,
newbee_mall,GET /manage-api/v1/categories/{id},id,"[""id"", ""ids[]""]","[""category_id"", ""categoryId""]",,
newbee_mall,GET /manage-api/v1/goods/{id},id,"[""id"", ""ids[]""]","[""goods_id"", ""goodsId""]",,
newbee_mall,PUT /manage-api/v1/goods/status/{sellStatus},ids[],"[""id"", ""ids[]""]","[""goods_id"", ""goodsId""]",,
newbee_mall,DELETE /manage-api/v1/indexConfigs,ids[],"[""id"", ""ids[]""]","[""config_id"", ""configId""]",,
newbee_mall,GET /manage-api/v1/indexConfigs/{id},id,"[""id"", ""ids[]""]","[""config_id"", ""configId""]",,
newbee_mall,PUT /manage-api/v1/orders/checkDone,ids[],"[""ids[]"", ""orderId""]",order_id,,
newbee_mall,PUT /manage-api/v1/orders/checkOut,ids[],"[""ids[]"", ""orderId""]",order_id,,
openemr,GET /apis/default/api/allergy,lists.id,"[""list.id""]",,,
openemr,GET /apis/default/api/immunization,id,"[""id"", ""uuid""]",immunization_id,,
openemr,GET /apis/default/api/patient/{puuid},data[].id,"[""data[].id"", ""id"", ""puuid""]",patient_id,,
openemr,PUT /apis/default/api/patient/{puuid},data[].id,"[""data[].id"", ""id"", ""puuid""]",patient_id,,
openemr,GET /apis/default/api/patient/{puuid}/encounter/{euuid},data[].id,"[""data[].encounter"", ""data[].id"", ""data[].uuid""]","[""encounter_id"", ""encounter_uuid""]",,
openemr,PUT /apis/default/api/patient/{puuid}/encounter/{euuid},data[].id,"[""data[].encounter"", ""data[].id"", ""data[].uuid""]","[""encounter_id"", ""encounter_uuid""]",,
openemr,GET /apis/default/fhir/Binary/{id},id,"[""id""]",binary_id,,
openemr,GET /apis/default/fhir/Group/{id}/$export,id,"[""id"", ""uuid""]",group_id,,
openemr,GET /apis/default/portal/patient,data[].id,"[""data[].id"", ""id""]","[""patient_id"", ""pid""]",,
openemr,POST /apis/default/api/practitioner,data[].id,"[""data[].id"", ""id"", ""data[].uuid"", ""uuid"", ""pruuid""]",practitioner_id,,
pybbs,POST /api/login,detail.user.id,"[""detail.user.id""]","[""userId"", ""user_id""]",,
pybbs,POST /api/mobile_login,detail.user.id,"[""detail.user.id""]","[""userId"", ""user_id""]",,
pybbs,POST /api/register,detail.user.id,"[""detail.user.id""]","[""userId"", ""user_id""]",,
pybbs,DELETE /api/comment/{id},id,"[""id"", ""detail.id""]","[""commentId"", ""comment_id""]",,
pybbs,POST /api/comment,detail.id,"[""id"", ""detail.id""]","[""commentId"", ""comment_id""]",,
pybbs,PUT /api/comment/{id},detail.id,"[""id"", ""detail.id""]","[""commentId"", ""comment_id""]",,
pybbs,POST /api/tag/{name},detail.page.records[].id,"[""detail.page.records[].id"", ""detail.tag.id"", ""id""]","[""tag_id"", ""detail.tag.id""]",,
pybbs,POST /api/tags,detail.records[].id,"[""detail.records[].id""]","[""records[].id"", ""tag_id""]",,
pybbs,DELETE /api/topic,id,"[""id"", ""detail.id"", ""detail.topic.id""]",topic_id,,
pybbs,GET /api/topic/{id},detail.comments[].id,"[""id"", ""detail.id"", ""detail.topic.id""]",topic_id,,
youlai-mall,POST /mall-oms/app-api/v1/orders/confirm,data.addresses[].id,"[""data"", ""orderSn""]","[""order_id"", ""data.orderToken""]",,
youlai-mall,GET /mall-oms/api/v1/orders,data.list[].id,"[""data.list[].id"", ""id"", ""orderId""]","[""order_id"", ""orderId""]",,
youlai-mall,GET /mall-oms/app-api/v1/orders,data.list[].id,"[""data.list[].id"", ""id"", ""orderId""]","[""order_id"", ""orderId""]",,
youlai-mall,POST /mall-pms/api/v1/attributes/batch,attributes[].id,"[""attributeId""]","[""attributeId"", ""attribute_id""]",,
youlai-mall,DELETE /mall-pms/api/v1/brands/{ids},ids,"[""ids""]","[""brand_ids"", ""brand_id""]",,
youlai-mall,GET /mall-pms/api/v1/brands/{id},id,"[""id""]",brand_id,,
youlai-mall,POST /mall-pms/api/v1/brands,id,"[""id""]",brand_id,,
youlai-mall,PUT /mall-pms/api/v1/brands/{id},id,"[""id""]",brand_id,,
youlai-mall,DELETE /mall-pms/api/v1/categories/{ids},ids,"[""ids""]","[""categoryId"", ""category_id""]",,
youlai-mall,GET /mall-pms/api/v1/categories,data[].id,"[""id"", ""data[].id""]",category_id,,
